url,views,likes,dislikes,comments,duration
https://youtu.be/GKeu9-TH9mE,895684,2964,348,56,2:15
https://youtu.be/9crBnxb6ZT4,894760,3555,256,88,2:54
https://youtu.be/5SCafg9ddio,893222,5281,237,90,3:52
https://youtu.be/2O9HN34yawo,890453,3075,228,75,2:13
https://youtu.be/bvM_F52r37c,887490,3455,232,47,2:31
https://youtu.be/1e06wVK_It0,879252,4087,161,84,2:40
https://youtu.be/iV-ApNITQ1U,879240,3800,195,59,2:56
https://youtu.be/31-baXiIagE,867751,3055,202,80,2:22
https://youtu.be/7-ecmDcVc08,842753,3909,174,62,3:07
https://youtu.be/0vhomjPY064,836855,3798,185,45,4:57
https://youtu.be/U9PQjYKETKs,834059,3456,206,34,3:26
https://youtu.be/TaKlYeV6i8c,820522,2172,287,45,1:52
https://youtu.be/CcDMgyCFmVk,800038,2701,161,31,3:17
https://youtu.be/g8o0K9ajzsQ,792974,4685,279,86,4:37
https://youtu.be/cZlUHn9xle8,774879,3246,174,44,3:07
https://youtu.be/3vQB7zlYtco,773039,2468,262,65,2:45
https://youtu.be/tI8nk1ggm-k,772446,4451,175,64,2:05
https://youtu.be/xFKrPTRGLjU,763703,3256,227,50,2:00
https://youtu.be/BpMQ8COre60,757055,2042,231,17,2:03
https://youtu.be/HuwjAoOzPXQ,755105,3192,106,86,3:18
https://youtu.be/7k0hfLEtvmQ,754549,3586,177,40,2:50
https://youtu.be/3zwRnUyE2Lw,751574,1521,125,15,0:43
https://youtu.be/vbWvlxJnC_w,745739,3062,166,52,3:08
https://youtu.be/mP36bTMUBUU,738738,3401,243,48,2:33
https://youtu.be/SQw0AhjhCPg,737100,2763,183,38,4:49
https://youtu.be/rGxJc7LyiKs,736712,2493,192,34,1:52
https://youtu.be/XZlWDs9Zge8,731311,3043,215,43,1:18
https://youtu.be/iCMxQyaQjzM,725907,3540,229,42,3:55
https://youtu.be/yhXKkn32Tas,723760,4022,150,89,3:18
https://youtu.be/9K9gMmUjG88,719425,3023,243,35,2:12
https://youtu.be/-KoZV7oGH3A,696724,2247,176,39,3:08
https://youtu.be/vYkDOl0_-vs,689993,2995,165,37,3:07
https://youtu.be/XnG-IxtQs2Y,685119,3247,191,25,2:10
https://youtu.be/Vd7-2UK0P-g,683229,3074,102,23,2:29
https://youtu.be/CkZ0ApWf49s,681356,3365,159,69,3:56
https://youtu.be/J4g5N8mot14,681087,2603,136,34,2:10
https://youtu.be/DRblWvbacrM,681023,2144,193,12,1:58
https://youtu.be/-awx6fK2h-k,673184,2647,209,37,3:52
https://youtu.be/4qxINXiM5J8,670636,3351,195,49,3:58
https://youtu.be/NIZVoe-eji8,659000,3244,109,34,2:20
https://youtu.be/2311QdBFp4o,652123,1268,92,21,1:28
https://youtu.be/rIjitrYUx1w,648446,1519,101,25,1:25
https://youtu.be/tURQnf_trY0,636854,3145,157,90,6:01
https://youtu.be/GyOPHcnzy3M,627610,2825,164,35,4:16
https://youtu.be/5RRWJBCoZ-E,624106,1404,119,40,4:15
https://youtu.be/Rz_OeXNrwK8,621862,3239,221,39,3:33
https://youtu.be/wxieqyrzFss,618662,1711,122,17,0:58
https://youtu.be/XTx8271LtQo,617543,3392,120,55,2:12
https://youtu.be/R6VbgKcNBYY,605080,2896,261,37,4:28
https://youtu.be/K6xpw9baTrY,604169,1555,69,24,2:31
https://youtu.be/DDKIuEPoY5Y,602694,2914,161,60,3:28
https://youtu.be/qjMR_AJZwLc,585355,1993,85,41,2:31
https://youtu.be/zO1m7yd-HEQ,577237,2150,86,27,3:25
https://youtu.be/Y9fj6fuNFfA,566905,2389,140,43,3:52
https://youtu.be/6ugcn6nGbek,555220,1798,157,37,4:29
https://youtu.be/VU8zjC3tRtk,550099,2174,148,29,2:48
https://youtu.be/a3yO4k2Z6Vw,548084,2271,92,38,2:55
https://youtu.be/f0rkpSeKoEo,544773,2231,142,39,2:34
https://youtu.be/83J-iWzByxo,543098,1830,162,39,2:17
https://youtu.be/eiHo5qDQqiM,542506,1930,142,69,3:37
https://youtu.be/zcRPQIR6CYk,533729,1963,103,58,3:11
https://youtu.be/BKzC7Ph5FxM,530235,1935,101,15,1:56
https://youtu.be/n6sBvXJ1Upw,530092,2247,113,25,1:42
https://youtu.be/QMH1oz2EoVg,524859,2903,127,25,3:33
https://youtu.be/Ib9yBOygb0w,514983,2951,129,83,2:12
https://youtu.be/w1FPRUO_on4,511768,3100,104,48,1:35
https://youtu.be/fRUGy2n63JY,507764,1353,94,21,2:15
https://youtu.be/vjxy9-s0sqU,506635,1740,68,28,2:26
https://youtu.be/7B4T8FLXXJs,501407,1892,129,31,2:59
https://youtu.be/aYpOwxAtRuI,501142,2208,119,52,2:53
https://youtu.be/yFLpnsZX3OI,486111,1384,86,27,2:30
https://youtu.be/-VwDzvytdbc,484700,1928,107,23,3:01
